ref_interne_decla,reference_externe_declaration,statut_declaration,id_gest_sinistre,type_cloture,date_survenance_declaration,date_declaration,lieu_declaration,heure_declaration,evenement_declaration,circonstance_declaration,contexte,circo_detaillee_1,circ_detaillee_commentaire,circo_aggravante_1,cird_aggravante_suite,pv,constat,cas_irsa,inc_existence_expertise,vehicule_retrouve,date_vehicule_retrouve
4007814289,007286863E,Clôturée,9810050069,Clôture automatique,2023-05-11 02:00:00,2023-05-12 02:00:00,SARAN,21,Accident de la circulation,Deux véhicules,Privé,NULL,voiture retourne au gge suite malfaçon de reparation sur pneu avantdroit + triangle abimé suite au depannage + voiture tire sur la ga uche                                                               appel de la soc pour nous infos,NULL,NULL,N,N,NULL,O,N,
0005184636,004831658D,Clôturée,8810049848,Clôture automatique,2020-06-13 02:00:00,2020-06-15 02:00:00,NULL,10,Accident de la circulation,Deux véhicules,Privé,NULL,"Appel soc émis:                                                    * annonce RC 00 et pec intégrale                                   * gge choisi par soc est non ag, info process RGL ok, mission ok   * ACR mail envoyé",NULL,NULL,N,O,NULL,O,N,
4006147346,005725109W,Clôturée,7810054667,Clôture automatique,2021-07-15 02:00:00,2021-07-16 02:00:00,NULL,17,Accident de la circulation,Deux véhicules,Privé,NULL,fait idp                                                           envoie mec a cie tiers,NULL,NULL,N,N,NULL,O,N,
9005768695,005372588W,Clôturée,2810055072,Clôture automatique,2021-02-11 01:00:00,2021-02-11 01:00:00,NULL,11,Accident de la circulation,Carambolage,NULL,NULL,"VTM de soc en stat, tiers percute vtm en stat a coté de soc        qui est projeté sur le vtm du soc. Constat établit et co-signé                                                                                                                                                                                                                                                                                         ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,N,NULL,O,N,
0007151281,006664939A,Clôturée,1810049441,Clôture automatique,2022-08-02 02:00:00,2022-08-04 02:00:00,NULL,08,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,"tel soc recu, exp données sur le choix de cession                  vu avec soc, doit aller récuperer les aff personnelles dans le veh avant le pssage de l'epaviste/",NULL,NULL,N,N,NULL,O,N,
8006502980,006058800D,Clôturée,9810049849,Clôture automatique,2021-12-01 01:00:00,2021-12-02 01:00:00,NULL,16,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,A DEPOSE CONSTAT EN AGENCE ATTENTE POUR PLUS COMPRENDRE CIRCONSTANCES .                                                               JE NE TROUVE PAS DE GARAGE AGREE A KOUROU SOC CHERCHERA DE SON COTEET REVIENT VERS NOUS JAVISE SOC FORTE CHANCE QU ELLE AVANCE LES FR AIS,NULL,NULL,N,N,NULL,O,N,
5007889396,007357485T,Clôturée,7810046187,Clôture automatique,2023-06-12 02:00:00,2023-06-12 02:00:00,ST JEAN DE LA RUELLE,12,Accident de la circulation,Deux véhicules,Privé,NULL,recu sd expert  controle technique depassé depuis 08/2022,NULL,NULL,N,O,NULL,O,N,
8004869199,004537184Y,Clôturée,0810048160,Clôture automatique,2020-01-05 01:00:00,2020-01-08 01:00:00,NULL,11,Accident de la circulation,Deux véhicules,NULL,NULL,"veh du soc en stationnement sur le parking, se fait heurter par vehadv                                                                CA cosigné : soc coche 1 et adv case 2                             croquis ok                                                         ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",NULL,NULL,N,N,NULL,O,N,
3006618625,006166492K,Clôturée,1810049441,Clôture automatique,2022-01-19 01:00:00,2022-01-21 01:00:00,SARAN,17,Accident de la circulation,Deux véhicules,Privé,NULL,"mevo soc , rc nulle, police ? garage ?                             .                                                                  fva ok /",NULL,NULL,N,N,NULL,O,N,
9006034324,005619185L,Clôturée,0100006037,Clôture automatique,2021-06-08 02:00:00,2021-06-09 02:00:00,ST ALBAN DE MONTBEL,16,Accident de la circulation,Deux véhicules,Privé - Trajets travail,NULL,Sociétaire est avisé de sa RC 00 + PEC TT                          Mise en place expertise au garage agréé                            Sociétaire déposera le constat sur MS                              Envoie acr par mail et sms,NULL,NULL,N,O,NULL,O,N,
